changeset,lon,visible,lat,timestamp,tags,id,version,addr:city,addr:country,addr:full,addr:housenumber,addr:housename,addr:postcode,addr:place,addr:street,email,name,opening_hours,operator,phone,ref,url,website,amenity,atm,bank,bicycle_parking,bicycle_rental,bar,building,building:levels,cafe,car_wash,dentist,drinking_water,fast_food,fountain,fuel,ice_cream,internet_access,landuse,library,office,parking,post_office,restaurant,school,social_facility,source,start_date,university,wikipedia,alcohol,bicycle,boat,books,butcher,clothes,coffee,collector,craft,dry_cleaning,fireplace,gas,hairdresser,hardware,lottery,model,motorcycle,music,musical_instrument,organic,pet,religion,second_hand,security,shoes,shop,ski,swimming_pool,trade,vacant,video,water,wholesale,wine,attraction,guest_house,information,museum,tourism,viewpoint,geometry,osm_type,biergarten,theatre,agrarian,cosmetics,golf,outdoor,trailer,zoo,subtype,index_right,zip
0.0,-73.229515,False,42.51265,1533692536,"{""cuisine"":""american""}",62866582,7,,,,162,,01237,,South Main Street,,Coyote Den,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.229515 42.51265),node,,,,,,,,,,11990.0,01237
0.0,-71.13683,False,41.698013,1716119876,"{""brand"":""Subway"",""brand:wikidata"":""Q244457"",""cuisine"":""sandwich"",""fixme:atp"":""no ATP match, check if still exists"",""takeaway"":""yes""}",67268435,6,,,,,,,,,,Subway,,,,,,,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-71.13683 41.698013),node,,,,,,,,,,12588.0,02723
0.0,-71.752075,False,42.27523,1718054185,"{""addr:state"":""MA"",""branch"":""Shrewsbury"",""brand"":""Moe's Southwest Grill"",""brand:wikidata"":""Q6889938"",""cuisine"":""mexican"",""drive_through"":""no"",""short_name"":""Moe's"",""takeaway"":""yes""}",255315418,9,Shrewsbury,,,61,,01545,,Boston Turnpike,,Moe's Southwest Grill,Mo-Su 11:00-21:00,,+1 508-797-6637,,,https://www.moes.com/find-a-moes/massachusetts/shrewsbury/214/,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caterer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-71.752075 42.27523),node,,,,,,,,,,12219.0,01545
0.0,-71.75405,False,42.27401,1352076719,"{""cuisine"":""american""}",255315502,5,,,,,,,,,,Jimmy's Tavern & Grill,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-71.75405 42.27401),node,,,,,,,,,,12219.0,01545
0.0,-71.75268,False,42.274914,1715691841,"{""addr:state"":""MA"",""brand"":""Burger King"",""brand:wikidata"":""Q177054"",""cuisine"":""burger"",""delivery"":""yes"",""drive_through"":""yes"",""takeaway"":""yes""}",255315579,5,Shrewsbury,,,53,,01545-3521,,Boston Turnpike,,Burger King,06:00-22:00,,+1 508-756-3890,3638,,https://www.bk.com/store-locator/store/restaurant_2026,fast_food,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-71.75268 42.274914),node,,,,,,,,,,12219.0,01545
0.0,-71.807335,False,42.271217,1703216325,"{""cuisine"":""seafood""}",255316007,6,,,,118,,01609,,Highland Street,,The Sole Proprietor,Tu-Th 11:30-22:00; Su 16:00-21:00; Mo 11:30-21:00; Fr 11:30-23:00; Sa 16:00-23:00,,+1 508-798-3474,,,https://www.thesole.com/,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-71.807335 42.271217),node,,,,,,,,,,12399.0,01609
0.0,-71.80684,False,42.27099,1703216325,"{""check_date:opening_hours"":""2022-01-31"",""cuisine"":""thai""}",255316287,7,,,,107,,01609,,Highland Street,,Thai Time,Mo-Fr 11:00-21:00; Sa-Su 12:00-21:00,,+1 508-756-7267,,,https://www.thaitimeworcester.com/,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-71.80684 42.27099),node,,,,,,,,,,12399.0,01609
0.0,-71.68573,False,42.207,1530116055,"{""addr:state"":""MA"",""attribution"":""Office of Geographic and Environmental Information (MassGIS), Massachusetts Emergency Management Agency"",""note"":""office Headquarters"",""source_url"":""http://mass.gov/mgis/firestations.htm""}",257494825,6,Grafton,,,3,,01519,,Worcester Street,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-71.68573 42.207),node,,,,,,,,,,2769.0,01519
0.0,-71.171844,False,42.33612,1550678644,"{""denomination"":""roman_catholic""}",257536654,4,Chestnut Hill,,,110,,02467,,College Road,,The Church in the 21st Century Center,,,+1 617 552 0470,,,https://www.bc.edu/church21.html,social_facility,,,,,,,,,,,,,,,,,,,,,,,,outreach,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,POINT (-71.171844 42.33612),node,,,,,,,,,outreach,12615.0,02467
0.0,-71.36004,False,42.166794,1616825951,"{""contact:facebook"":""https://www.facebook.com/Millis.House.of.Pizza"",""cuisine"":""pizza""}",257584601,6,,,,915,,,,Main Street,,Millis House of Pizza,"Mo-Su 11:00-22:00; Fr,Sa 11:00-23:00",,+1-508-376-8500,,,https://www.millishouseofpizza.com/,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-71.36004 42.166794),node,,,,,,,,,,2966.0,02054
