state_x,zip,poverty_rate,median_income_household,percent_lower_education,percent_higher_education,percent_snap_participation,per_capita_income,num_food_access,num_grocery,num_food_pantries,num_fast_food,num_restaurants,cluster,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state_y,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
MA,01066,0.6194029850746269,107024.5,0.6296296296296297,0.3703703703703703,0.4333333333333333,16546.0,0.0,0.0,0.0,0.0,0.0,1,PO BOX,0,North Hatfield,N Hatfield,No Hatfield,MA,Hampshire County,America/New_York,413,,US,42.41,-72.66,402
MA,02325,0.7073170731707317,107024.5,0.2,0.8,0.091044142614601,7596.0,0.0,0.0,0.0,0.0,0.0,1,UNIQUE,0,Bridgewater,,Bridgewater State College,MA,Plymouth County,America/New_York,"508, 774",,US,41.99,-70.96,10
MA,01079,0.234375,107024.5,0.5957446808510638,0.4042553191489361,0.3043478260869565,29950.0,0.0,0.0,0.0,0.0,0.0,1,PO BOX,0,Thorndike,,,MA,Hampden County,America/New_York,413,,US,42.2,-72.33,992
MA,02366,0.0675790364980466,107024.5,0.7755102040816326,0.2244897959183673,0.091044142614601,11232.0,0.0,0.0,0.0,0.0,0.0,1,PO BOX,0,South Carver,,,MA,Plymouth County,America/New_York,"508, 774",,US,41.85,-70.66,385
MA,01103,0.4453369031682285,21458.0,0.4142538975501114,0.5857461024498887,0.5045161290322581,33500.0,14.0,0.0,0.0,2.0,10.0,1,STANDARD,0,Springfield,,Spfld,MA,Hampden County,America/New_York,413,,US,42.1,-72.59,1620
MA,01105,0.487319909006656,22994.0,0.6987735566856117,0.3012264433143882,0.6102941176470589,17301.0,4.0,0.0,0.0,1.0,2.0,1,STANDARD,0,Springfield,,Spfld,MA,Hampden County,America/New_York,413,,US,42.1,-72.58,7910
MA,01901,0.4288299155609167,27561.0,0.3801756587202007,0.6198243412797992,0.452895419187554,33836.0,14.0,2.0,0.0,2.0,10.0,1,STANDARD,0,Lynn,,,MA,Essex County,America/New_York,"339, 781",,US,42.46,-70.95,1890
MA,01107,0.409725604805975,31969.0,0.6624365482233503,0.3375634517766497,0.5021613832853026,20475.0,0.0,0.0,0.0,0.0,0.0,1,STANDARD,0,Springfield,,"Brightwood, Spfld",MA,Hampden County,America/New_York,413,,US,42.12,-72.61,8220
MA,01840,0.325065274151436,34630.0,0.6954251096720284,0.3045748903279716,0.5841163989087602,24230.0,5.0,0.0,0.0,0.0,4.0,1,STANDARD,0,Lawrence,,,MA,Essex County,America/New_York,"351, 978",,US,42.71,-71.16,5500
MA,02121,0.244814254496554,38565.0,0.5545341050959028,0.4454658949040971,0.4797838463765319,27892.0,3.0,0.0,0.0,1.0,2.0,1,STANDARD,0,Dorchester,"Boston, Grove Hall",,MA,Suffolk County,America/New_York,"617, 857",,US,42.31,-71.09,23410
MA,02746,0.3249830320231998,41023.0,0.6861443530291698,0.3138556469708302,0.3682385575589459,25609.0,8.0,1.0,0.0,4.0,3.0,1,STANDARD,0,New Bedford,,,MA,Bristol County,America/New_York,"508, 774",,US,41.66,-70.93,12790
MA,02723,0.2460736052508204,41789.0,0.6437040242319342,0.3562959757680657,0.3509234828496042,29622.0,7.0,0.0,0.0,5.0,1.0,1,STANDARD,0,Fall River,,,MA,Bristol County,America/New_York,"508, 774",,US,41.69,-71.13,12290
MA,01610,0.3341893208182059,43757.0,0.5888304599613925,0.4111695400386074,0.4245598876768549,20889.0,34.0,1.0,1.0,10.0,15.0,1,STANDARD,0,Worcester,,,MA,Worcester County,America/New_York,"508, 774",,US,42.25,-71.81,16900
MA,01608,0.4391383865068075,45962.0,0.4824120603015075,0.5175879396984925,0.2710027100271002,29079.0,22.0,0.0,0.0,2.0,14.0,1,STANDARD,0,Worcester,,,MA,Worcester County,America/New_York,"508, 774",,US,42.26,-71.8,3530
MA,01109,0.2474274196400155,46821.0,0.5588136353442476,0.4411863646557524,0.423968807715986,22204.0,5.0,0.0,0.0,0.0,2.0,1,STANDARD,0,Springfield,,Spfld,MA,Hampden County,America/New_York,413,,US,42.11,-72.53,22950
MA,01104,0.2028442780081137,47530.0,0.6094961942732874,0.3905038057267125,0.4115784712799638,26124.0,5.0,2.0,0.0,3.0,0.0,1,STANDARD,0,Springfield,,Spfld,MA,Hampden County,America/New_York,413,,US,42.13,-72.57,20040
MA,02724,0.2237743232960104,49809.0,0.60780971565817,0.39219028434183,0.369815391992328,28631.0,2.0,0.0,0.0,2.0,0.0,1,STANDARD,0,Fall River,,,MA,Bristol County,America/New_York,"401, 508, 774",,US,41.68,-71.18,14160
MA,02721,0.187111362351611,50666.0,0.6008276899924756,0.3991723100075244,0.3578136073706591,30645.0,36.0,6.0,0.0,19.0,10.0,1,STANDARD,0,Fall River,,,MA,Bristol County,America/New_York,"401, 508, 774",,US,41.68,-71.15,21330
MA,01108,0.2857858243451464,51851.0,0.5154864773874986,0.4845135226125014,0.3347232752084912,27143.0,1.0,0.0,0.0,0.0,1.0,1,STANDARD,0,Springfield,,Spfld,MA,Hampden County,America/New_York,413,,US,42.08,-72.56,22810
MA,01040,0.260108613829444,51892.0,0.5114478114478115,0.4885521885521885,0.3893326462251997,31189.0,11.0,1.0,0.0,4.0,5.0,1,STANDARD,0,Holyoke,,Halyoke,MA,Hampden County,America/New_York,413,,US,42.21,-72.64,29470
MA,01364,0.2036109646810754,54061.0,0.5364321608040201,0.4635678391959799,0.2429816069699903,28922.0,2.0,0.0,0.0,1.0,1.0,1,STANDARD,0,Orange,Warwick,"Blissville, Eagleville, Lake Mattawa, N Orange, North Orange",MA,Franklin County,America/New_York,"351, 413, 978",,US,42.59,-72.3,6460
MA,01841,0.199741970268813,54525.0,0.6467857031566483,0.3532142968433517,0.496929285839621,24385.0,4.0,2.0,0.0,0.0,2.0,1,STANDARD,0,Lawrence,,,MA,Essex County,America/New_York,"351, 978",,US,42.72,-71.15,47570
MA,02740,0.1878343267614244,54563.0,0.5683789192795197,0.4316210807204803,0.3449402634534871,30035.0,16.0,0.0,0.0,3.0,11.0,1,STANDARD,0,New Bedford,,,MA,Bristol County,America/New_York,"508, 774",,US,41.64,-70.94,35150
MA,01605,0.254490917057059,54805.0,0.4355074288592294,0.5644925711407706,0.3944135958270234,30686.0,27.0,0.0,0.0,11.0,13.0,1,STANDARD,0,Worcester,,,MA,Worcester County,America/New_York,"508, 774",,US,42.29,-71.79,22330
